timestamp,query_type,api_type,repository_owner,repository_name,response_time_ms,response_size_bytes,success,error
2025-11-25T17:14:49.409490,complex,rest,facebook,react,629.0305000147782,51251,True,
2025-11-25T17:14:50.139788,complex,rest,facebook,react,616.7933999677189,51251,True,
2025-11-25T17:14:50.858220,complex,rest,facebook,react,776.0065000038594,51251,True,
2025-11-25T17:14:51.735653,complex,rest,facebook,react,595.515199995134,51251,True,
2025-11-25T17:14:52.432636,complex,rest,facebook,react,639.570300001651,51251,True,
2025-11-25T17:14:53.173340,complex,rest,facebook,react,637.4861000222154,51251,True,
2025-11-25T17:14:53.912251,complex,rest,facebook,react,696.0128000355326,51251,True,
2025-11-25T17:14:54.709568,complex,rest,facebook,react,687.6443000510335,51251,True,
2025-11-25T17:14:55.498376,complex,rest,facebook,react,623.437299975194,51251,True,
2025-11-25T17:14:56.223070,complex,rest,facebook,react,761.9853999931365,51251,True,
2025-11-25T17:14:57.086370,complex,rest,facebook,react,604.1265000239946,51251,True,
2025-11-25T17:14:57.791857,complex,rest,facebook,react,592.2898999997415,51251,True,
2025-11-25T17:14:58.485475,complex,rest,facebook,react,610.2251000120305,51251,True,
2025-11-25T17:14:59.197183,complex,rest,facebook,react,638.4962000302039,51250,True,
2025-11-25T17:14:59.936882,complex,rest,facebook,react,633.3470000536181,51251,True,
2025-11-25T17:15:00.671516,complex,rest,facebook,react,849.4802000350319,51251,True,
2025-11-25T17:15:01.622173,complex,rest,facebook,react,672.0284000039101,51251,True,
2025-11-25T17:15:02.395976,complex,rest,facebook,react,827.123999944888,51250,True,
2025-11-25T17:15:03.324541,complex,rest,facebook,react,760.5152999749407,51251,True,
2025-11-25T17:15:04.186607,complex,rest,facebook,react,704.2372000287287,51251,True,
2025-11-25T17:15:04.992123,complex,rest,facebook,react,715.9809999866411,51251,True,
2025-11-25T17:15:05.809461,complex,rest,facebook,react,728.9622999960557,51251,True,
2025-11-25T17:15:06.640544,complex,rest,facebook,react,802.1969999535941,51251,True,
2025-11-25T17:15:07.544035,complex,rest,facebook,react,933.7512000347488,51251,True,
2025-11-25T17:15:08.578992,complex,rest,facebook,react,744.1177000291646,51251,True,
